datetime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2020-03-10 16:02:02.866622,0.011,-0.006,1.031,0.28,0.49,1.05
2020-03-10 16:02:02.881929,0.012,-0.006,1.031,0.21,0.49,1.12
2020-03-10 16:02:02.882069,0.011,-0.006,1.029,0.21,0.56,1.05
2020-03-10 16:02:02.882089,0.011,-0.006,1.031,0.21,0.56,1.05
2020-03-10 16:02:02.882139,0.012,-0.005,1.03,0.21,0.56,1.05
2020-03-10 16:02:02.887281,0.012,-0.006,1.031,0.21,0.49,1.12
2020-03-10 16:02:02.892453,0.01,-0.006,1.032,0.21,0.49,1.12
2020-03-10 16:02:02.897593,0.012,-0.005,1.031,0.21,0.49,1.05
2020-03-10 16:02:02.933392,0.011,-0.007,1.03,0.21,0.49,1.05
2020-03-10 16:02:02.943742,0.011,-0.008,1.03,0.21,0.56,1.05
2020-03-10 16:02:02.955979,0.011,-0.005,1.03,0.14,0.56,1.05
2020-03-10 16:02:02.971579,0.011,-0.006,1.032,0.21,0.56,1.05
2020-03-10 16:02:02.971724,0.01,-0.005,1.033,0.21,0.56,1.05
2020-03-10 16:02:02.982028,0.01,-0.005,1.032,0.21,0.49,1.05
2020-03-10 16:02:03.002516,0.013000000000000001,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.007726,0.012,-0.005,1.034,0.21,0.56,1.05
2020-03-10 16:02:03.023107,0.011,-0.005,1.036,0.28,0.63,1.05
2020-03-10 16:02:03.043602,0.013000000000000001,-0.005,1.032,0.21,0.49,1.05
2020-03-10 16:02:03.053891,0.011,-0.005,1.029,0.21,0.56,1.05
2020-03-10 16:02:03.053983,0.011,-0.004,1.033,0.21,0.49,1.12
2020-03-10 16:02:03.059125,0.012,-0.003,1.028,0.21,0.56,1.05
2020-03-10 16:02:03.079518,0.012,-0.007,1.03,0.21,0.49,1.05
2020-03-10 16:02:03.079564,0.013000000000000001,-0.004,1.03,0.21,0.56,1.05
2020-03-10 16:02:03.079647,0.012,-0.007,1.029,0.21,0.49,1.05
2020-03-10 16:02:03.079670,0.012,-0.006,1.034,0.21,0.49,1.05
2020-03-10 16:02:03.079691,0.01,-0.005,1.032,0.28,0.49,1.05
2020-03-10 16:02:03.079705,0.01,-0.006,1.034,0.21,0.49,0.98
2020-03-10 16:02:03.090140,0.012,-0.007,1.033,0.21,0.49,1.05
2020-03-10 16:02:03.090181,0.009000000000000001,-0.006,1.029,0.21,0.56,1.05
2020-03-10 16:02:03.105582,0.011,-0.006,1.031,0.14,0.56,1.05
2020-03-10 16:02:03.126105,0.012,-0.005,1.032,0.21,0.56,1.05
2020-03-10 16:02:03.131232,0.011,-0.005,1.03,0.21,0.56,1.05
2020-03-10 16:02:03.141535,0.012,-0.007,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.156903,0.009000000000000001,-0.004,1.038,0.21,0.56,1.05
2020-03-10 16:02:03.182446,0.011,-0.004,1.039,0.28,0.49,1.05
2020-03-10 16:02:03.182505,0.01,-0.007,1.026,0.21,0.63,1.05
2020-03-10 16:02:03.182592,0.013000000000000001,-0.006,1.03,0.21,0.56,1.05
2020-03-10 16:02:03.197958,0.011,-0.006,1.028,0.21,0.49,1.05
2020-03-10 16:02:03.213349,0.009000000000000001,-0.005,1.035,0.21,0.42,1.05
2020-03-10 16:02:03.233828,0.01,-0.006,1.035,0.21,0.56,1.05
2020-03-10 16:02:03.244081,0.011,-0.006,1.029,0.21,0.56,1.05
2020-03-10 16:02:03.249263,0.01,-0.007,1.025,0.28,0.42,0.98
2020-03-10 16:02:03.249301,0.011,-0.006,1.03,0.21,0.56,1.05
2020-03-10 16:02:03.264644,0.01,-0.006,1.033,0.21,0.56,1.05
2020-03-10 16:02:03.269953,0.011,-0.005,1.032,0.21,0.49,1.05
2020-03-10 16:02:03.277669,0.012,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.287937,0.011,-0.007,1.031,0.28,0.49,1.05
2020-03-10 16:02:03.303289,0.011,-0.006,1.031,0.21,0.49,1.05
2020-03-10 16:02:03.308547,0.012,-0.005,1.03,0.21,0.42,1.05
2020-03-10 16:02:03.323906,0.01,-0.005,1.034,0.21,0.49,1.05
2020-03-10 16:02:03.344396,0.011,-0.006,1.032,0.21,0.56,1.05
2020-03-10 16:02:03.359736,0.012,-0.006,1.03,0.21,0.49,1.12
2020-03-10 16:02:03.380250,0.011,-0.007,1.028,0.21,0.42,0.98
2020-03-10 16:02:03.385450,0.011,-0.006,1.031,0.21,0.56,0.98
